userId,top_5_name,prediction_rate
M0000004606370,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '마요라 코피코 커피맛캔디 블리스터 32g', 'C11""', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C09']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000013010530,"['스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '고려은단 알티지 오메가3 60캡슐 (60일분)', '칼파제르 다크 초콜릿 70% 150g', '티타니아 샌드풋파일', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000000274173,"['아크네스 3초 진정 패치 2종 택1', '고려은단 알티지 오메가3 60캡슐 (60일분)', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '레이즈 클래식 감자칩 42.5g', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000001350192,"['에스리턴 프로틴 브라우니바 초코 50g', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '헌터스 화이트 트러플칩 25g', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019883628,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C09', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000020567220,"['헌터스 화이트 트러플칩 25g', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C07', 'C03']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000014501723,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C06', '필리밀리 코털가위', '필리밀리 손톱깎이 (S)', 'C04']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000010278218,"['에뛰드 컬픽스 마스카라 ', 'C08', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C04', '레이즈 클래식 감자칩 42.5g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000020591196,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C09""', '에뛰드 컬픽스 마스카라 ', 'C09', 'C05""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003742342,"['[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', 'C09', '필리밀리 코털가위', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트']","[1.0, 1.0, 1.0, 1.0, 1.0]"
